region,date,total_cm,soil_cm,groundwater_cm
Oum Er-Rbia (Al Massira),2016-08-01,-2.553,-2.951,0.398
Oum Er-Rbia (Al Massira),2016-11-01,1.65,-2.593,4.243
Oum Er-Rbia (Al Massira),2016-12-01,0.333,2.213,-1.88
Oum Er-Rbia (Al Massira),2017-01-01,6.909,0.92,5.989
Oum Er-Rbia (Al Massira),2017-03-01,1.48,1.248,0.232
Oum Er-Rbia (Al Massira),2017-04-01,-0.619,-0.93,0.311
Oum Er-Rbia (Al Massira),2017-05-01,-0.446,-1.862,1.416
Oum Er-Rbia (Al Massira),2017-06-01,0.967,-2.651,3.618
Oum Er-Rbia (Al Massira),2018-06-01,1.09,0.343,0.747
Oum Er-Rbia (Al Massira),2018-07-01,-0.797,-1.495,0.698
Oum Er-Rbia (Al Massira),2018-10-01,0.977,-2.113,3.09
Oum Er-Rbia (Al Massira),2018-11-01,2.149,2.794,-0.645
Oum Er-Rbia (Al Massira),2018-12-01,3.084,2.967,0.117
Oum Er-Rbia (Al Massira),2019-01-01,1.455,0.906,0.549
Oum Er-Rbia (Al Massira),2019-02-01,1.733,0.159,1.574
Oum Er-Rbia (Al Massira),2019-03-01,-1.105,-1.148,0.043
Oum Er-Rbia (Al Massira),2019-04-01,-1.801,0.014,-1.815
Oum Er-Rbia (Al Massira),2019-05-01,-1.747,-1.908,0.161
Oum Er-Rbia (Al Massira),2019-06-01,-2.219,-3.039,0.82
Oum Er-Rbia (Al Massira),2019-07-01,-1.79,-3.553,1.763
Oum Er-Rbia (Al Massira),2019-08-01,-3.007,-3.896,0.889
Oum Er-Rbia (Al Massira),2019-09-01,-2.06,-4.095,2.035
Oum Er-Rbia (Al Massira),2019-10-01,-2.743,-4.339,1.596
Oum Er-Rbia (Al Massira),2019-11-01,-1.809,-3.958,2.149
Oum Er-Rbia (Al Massira),2019-12-01,0.053,-2.544,2.597
Oum Er-Rbia (Al Massira),2020-01-01,-2.204,-3.453,1.249
Oum Er-Rbia (Al Massira),2020-02-01,-1.131,-4.187,3.056
Oum Er-Rbia (Al Massira),2020-03-01,-2.687,-4.054,1.367
Oum Er-Rbia (Al Massira),2020-04-01,-2.773,-3.692,0.919
Oum Er-Rbia (Al Massira),2020-05-01,-1.983,-4.15,2.167
Oum Er-Rbia (Al Massira),2020-06-01,-2.895,-4.937,2.042
Oum Er-Rbia (Al Massira),2020-07-01,-3.505,-5.217,1.712
Oum Er-Rbia (Al Massira),2020-08-01,-7.773,-5.413,-2.36
Oum Er-Rbia (Al Massira),2020-09-01,-3.364,-5.588,2.224
Oum Er-Rbia (Al Massira),2020-10-01,-9.529,-5.076,-4.453
Oum Er-Rbia (Al Massira),2020-11-01,-7.224,-4.459,-2.765
Oum Er-Rbia (Al Massira),2020-12-01,-2.779,-3.628,0.849
Oum Er-Rbia (Al Massira),2021-01-01,-2.364,-0.2,-2.164
Oum Er-Rbia (Al Massira),2021-02-01,-1.783,0.041,-1.824
Oum Er-Rbia (Al Massira),2021-03-01,-1.158,0.486,-1.644
Oum Er-Rbia (Al Massira),2021-04-01,-2.49,-1.506,-0.984
Oum Er-Rbia (Al Massira),2021-05-01,-7.606,-2.769,-4.837
Oum Er-Rbia (Al Massira),2021-06-01,-2.463,-4.064,1.601
Oum Er-Rbia (Al Massira),2021-07-01,-2.192,-4.668,2.476
Oum Er-Rbia (Al Massira),2021-08-01,-3.123,-5.085,1.962
Oum Er-Rbia (Al Massira),2021-09-01,-8.442,-5.293,-3.149
Oum Er-Rbia (Al Massira),2021-10-01,-5.329,-5.559,0.23
Oum Er-Rbia (Al Massira),2021-11-01,-5.764,-5.313,-0.451
Oum Er-Rbia (Al Massira),2021-12-01,-2.867,-4.505,1.638
Oum Er-Rbia (Al Massira),2022-01-01,-1.804,-4.864,3.06
Oum Er-Rbia (Al Massira),2022-02-01,-7.365,-5.378,-1.987
Oum Er-Rbia (Al Massira),2022-03-01,-8.765,-3.703,-5.062
Oum Er-Rbia (Al Massira),2022-04-01,-3.75,-2.977,-0.773
Oum Er-Rbia (Al Massira),2022-05-01,-10.2,-4.724,-5.476
Oum Er-Rbia (Al Massira),2022-06-01,-2.575,-5.375,2.8
Oum Er-Rbia (Al Massira),2022-07-01,-4.629,-5.712,1.083
Oum Er-Rbia (Al Massira),2022-08-01,-9.396,-5.974,-3.422
Oum Er-Rbia (Al Massira),2022-09-01,-9.83,-6.14,-3.69
Oum Er-Rbia (Al Massira),2022-10-01,-8.751,-5.929,-2.822
Oum Er-Rbia (Al Massira),2022-11-01,-14.493,-6.299,-8.194
Oum Er-Rbia (Al Massira),2022-12-01,-3.183,-4.158,0.975
Oum Er-Rbia (Al Massira),2023-01-01,-5.68,-4.591,-1.089
Oum Er-Rbia (Al Massira),2023-02-01,-6.756,-4.387,-2.369
Oum Er-Rbia (Al Massira),2023-03-01,-4.051,-3.304,-0.747
Oum Er-Rbia (Al Massira),2023-04-01,-9.866,-5.11,-4.756
Oum Er-Rbia (Al Massira),2023-05-01,-11.769,-5.411,-6.358
Oum Er-Rbia (Al Massira),2023-06-01,-7.467,-5.66,-1.807
Oum Er-Rbia (Al Massira),2023-07-01,-10.753,-6.301,-4.452
Oum Er-Rbia (Al Massira),2023-08-01,-12.724,-6.507,-6.217
Oum Er-Rbia (Al Massira),2023-09-01,-6.969,-6.713,-0.256
Oum Er-Rbia (Al Massira),2023-10-01,-7.969,-6.388,-1.581
Oum Er-Rbia (Al Massira),2023-11-01,-7.699,-6.357,-1.342
Oum Er-Rbia (Al Massira),2023-12-01,-8.015,-6.399,-1.616
Oum Er-Rbia (Al Massira),2024-01-01,-17.059,-6.263,-10.796
Oum Er-Rbia (Al Massira),2024-02-01,-15.953,-5.449,-10.504
Oum Er-Rbia (Al Massira),2024-03-01,-7.112,-5.358,-1.754
Oum Er-Rbia (Al Massira),2024-04-01,-8.82,-4.971,-3.849
Oum Er-Rbia (Al Massira),2024-05-01,-6.116,-6.354,0.238
Oum Er-Rbia (Al Massira),2024-06-01,-13.525,-6.752,-6.773
Oum Er-Rbia (Al Massira),2024-07-01,-13.982,-6.968,-7.014
Oum Er-Rbia (Al Massira),2024-08-01,-9.581,-7.167,-2.414
Oum Er-Rbia (Al Massira),2024-09-01,-14.392,-7.249,-7.143
Oum Er-Rbia (Al Massira),2024-10-01,-13.791,-6.574,-7.217
Oum Er-Rbia (Al Massira),2024-11-01,-12.2,-6.372,-5.828
Oum Er-Rbia (Al Massira),2024-12-01,-8.6,-6.96,-1.64
Oum Er-Rbia (Al Massira),2025-01-01,-16.079,-6.922,-9.157
Oum Er-Rbia (Al Massira),2025-02-01,-16.79,-6.691,-10.099
Oum Er-Rbia (Al Massira),2025-03-01,-7.58,-1.581,-5.999
Oum Er-Rbia (Al Massira),2025-04-01,-14.77,-1.948,-12.822
Oum Er-Rbia (Al Massira),2025-05-01,-13.943,-4.049,-9.894
Oum Er-Rbia (Al Massira),2025-06-01,-10.906,-5.29,-5.616
Oum Er-Rbia (Al Massira),2025-07-01,-15.635,-5.942,-9.693
Oum Er-Rbia (Al Massira),2025-08-01,-24.101,-6.213,-17.888
Oum Er-Rbia (Al Massira),2025-09-01,-12.403,-6.472,-5.931
Oum Er-Rbia (Al Massira),2025-10-01,-12.09,-6.714,-5.376
Oum Er-Rbia (Al Massira),2025-11-01,-10.6,-6.046,-4.554
Oum Er-Rbia (Al Massira),2025-12-01,-11.197,-2.816,-8.381
Oum Er-Rbia (Al Massira),2026-01-01,-3.531,6.763,-10.294
Oum Er-Rbia (Al Massira),2026-02-01,-0.307,10.722,-11.029
Oum Er-Rbia (Al Massira),2026-03-01,-0.846,8.452,-9.298
Oum Er-Rbia (Al Massira),2026-04-01,-0.529,6.398,-6.927
Oum Er-Rbia (Al Massira),2026-05-01,-2.401,3.232,-5.633
Oum Er-Rbia (Al Massira),2026-06-01,-2.762,0.724,-3.486
