region,date,lwe_cm
Souss-Massa (my region),2013-04-21,-0.134
Souss-Massa (my region),2013-05-16,0.647
Souss-Massa (my region),2013-06-16,0.5
Souss-Massa (my region),2013-07-16,-0.546
Souss-Massa (my region),2013-10-16,-0.68
Souss-Massa (my region),2013-11-16,-0.913
Souss-Massa (my region),2013-12-16,-0.751
Souss-Massa (my region),2014-01-09,-0.306
Souss-Massa (my region),2014-03-17,0.282
Souss-Massa (my region),2014-04-16,-0.435
Souss-Massa (my region),2014-05-16,-1.41
Souss-Massa (my region),2014-06-13,-0.359
Souss-Massa (my region),2014-08-16,-1.735
Souss-Massa (my region),2014-09-16,-0.469
Souss-Massa (my region),2014-10-16,-0.705
Souss-Massa (my region),2014-11-16,0.837
Souss-Massa (my region),2015-01-22,3.494
Souss-Massa (my region),2015-02-15,2.448
Souss-Massa (my region),2015-03-16,3.442
Souss-Massa (my region),2015-04-16,5.327
Souss-Massa (my region),2015-04-27,5.665
Souss-Massa (my region),2015-07-15,3.965
Souss-Massa (my region),2015-08-16,-0.208
Souss-Massa (my region),2015-09-14,1.603
Souss-Massa (my region),2015-12-23,2.11
Souss-Massa (my region),2016-01-16,-0.574
Souss-Massa (my region),2016-02-14,0.479
Souss-Massa (my region),2016-03-16,-0.123
Souss-Massa (my region),2016-05-20,-0.434
Souss-Massa (my region),2016-06-16,0.209
Souss-Massa (my region),2016-07-15,-0.196
Souss-Massa (my region),2016-08-21,-0.974
Souss-Massa (my region),2016-11-27,1.101
Souss-Massa (my region),2016-12-24,-0.864
Souss-Massa (my region),2017-01-21,4.874
Souss-Massa (my region),2017-03-31,1.004
Souss-Massa (my region),2017-04-24,-0.818
Souss-Massa (my region),2017-05-13,-1.045
Souss-Massa (my region),2017-06-10,0.853
Souss-Massa (my region),2018-06-16,0.484
Souss-Massa (my region),2018-07-10,-0.67
Souss-Massa (my region),2018-10-31,0.048
Souss-Massa (my region),2018-11-16,0.784
Souss-Massa (my region),2018-12-16,0.995
Souss-Massa (my region),2019-01-16,0.443
Souss-Massa (my region),2019-02-15,0.053
Souss-Massa (my region),2019-03-16,-1.955
Souss-Massa (my region),2019-04-16,-2.707
Souss-Massa (my region),2019-05-16,-1.879
Souss-Massa (my region),2019-06-16,-2.021
Souss-Massa (my region),2019-07-16,-1.626
Souss-Massa (my region),2019-08-16,-2.482
Souss-Massa (my region),2019-09-16,-1.529
Souss-Massa (my region),2019-10-16,-2.534
Souss-Massa (my region),2019-11-16,-1.811
Souss-Massa (my region),2019-12-16,-0.963
Souss-Massa (my region),2020-01-16,-3.789
Souss-Massa (my region),2020-02-15,-1.85
Souss-Massa (my region),2020-03-16,-2.255
Souss-Massa (my region),2020-04-16,-2.442
Souss-Massa (my region),2020-05-16,-2.299
Souss-Massa (my region),2020-06-16,-2.532
Souss-Massa (my region),2020-07-16,-2.532
Souss-Massa (my region),2020-08-16,-6.816
Souss-Massa (my region),2020-09-16,-1.901
Souss-Massa (my region),2020-10-16,-4.746
Souss-Massa (my region),2020-11-16,-4.312
Souss-Massa (my region),2020-12-16,-2.889
Souss-Massa (my region),2021-01-16,-2.787
Souss-Massa (my region),2021-02-15,-1.077
Souss-Massa (my region),2021-03-16,-1.363
Souss-Massa (my region),2021-04-16,-2.643
Souss-Massa (my region),2021-05-16,-3.003
Souss-Massa (my region),2021-06-16,-2.318
Souss-Massa (my region),2021-07-16,-2.033
Souss-Massa (my region),2021-08-16,-2.438
Souss-Massa (my region),2021-09-16,-4.235
Souss-Massa (my region),2021-10-16,-4.688
Souss-Massa (my region),2021-11-16,-4.672
Souss-Massa (my region),2021-12-16,-2.31
Souss-Massa (my region),2022-01-16,-1.368
Souss-Massa (my region),2022-02-15,-6.581
Souss-Massa (my region),2022-03-16,-6.616
Souss-Massa (my region),2022-04-16,-4.219
Souss-Massa (my region),2022-05-16,-9.029
Souss-Massa (my region),2022-06-16,-2.007
Souss-Massa (my region),2022-07-16,-2.493
Souss-Massa (my region),2022-08-16,-6.119
